Id                  hcIdx   BaseId              NextInClass        TransLvl  NameStr
skeleton1           0       skeleton1           skeleton2          0         Skeleton
skeleton2           1       skeleton1           skeleton3          1         Returned
skeleton3           2       skeleton1           skeleton4          2         BoneWarrior
skeleton4           3       skeleton1           skeleton5          3         BurningDead
skeleton5           4       skeleton1           skeleton6          4         Horror
zombie1             5       zombie1             zombie2            0         Zombie
zombie2             6       zombie1             zombie3            1         HungryDead
zombie3             7       zombie1             zombie4            2         Ghoul
zombie4             8       zombie1             zombie5            3         DrownedCarcass
zombie5             9       zombie1                                4         PlagueBearer
bighead1            10      bighead1            bighead2           0         Afflicted
bighead2            11      bighead1            bighead3           1         Tainted
bighead3            12      bighead1            bighead4           2         Misshapen
bighead4            13      bighead1            bighead5           3         Disfigured
bighead5            14      bighead1            bighead6           4         Damned
foulcrow1           15      foulcrow1           foulcrow2          0         FoulCrow
foulcrow2           16      foulcrow1           foulcrow3          1         BloodHawk
foulcrow3           17      foulcrow1           foulcrow4          2         BlackRaptor
foulcrow4           18      foulcrow1           foulcrow5          3         CloudStalker
fallen1             19      fallen1             fallen2            0         Fallen
fallen2             20      fallen1             fallen3            1         Carver
fallen3             21      fallen1             fallen4            2         Devilkin
fallen4             22      fallen1             fallen5            3         DarkOne
fallen5             23      fallen1             fallen6            4         WarpedFallen
brute2              24      brute2              brute3             0         Brute
brute3              25      brute2              brute4             1         Yeti
brute4              26      brute2              brute5             2         Crusher
brute5              27      brute2              brute1             3         WailingBeast
brute1              28      brute2                                 4         GargantuanBeast
sandraider1         29      sandraider1         sandraider2        0         SandRaider
sandraider2         30      sandraider1         sandraider3        1         Marauder
sandraider3         31      sandraider1         sandraider4        2         Invader
sandraider4         32      sandraider1         sandraider5        3         Infidel
sandraider5         33      sandraider1         sandraider6        4         Assailant
gorgon1             34      gorgon1             gorgon2            0         unused
gorgon2             35      gorgon1             gorgon3            1         unused
gorgon3             36      gorgon1             gorgon4            2         unused
gorgon4             37      gorgon1                                3         unused
wraith1             38      wraith1             wraith2            0         Ghost
wraith2             39      wraith1             wraith3            1         Wraith
wraith3             40      wraith1             wraith4            2         Specter
